_id,Waktu,Harga Penutupan (USD)
6741921b0181b4e6dc11748b,2024-11-21 17:00,97322.4
6741921b0181b4e6dc11748c,2024-11-21 17:10,97549.09
6741921b0181b4e6dc11748d,2024-11-21 17:20,97696.55
6741921b0181b4e6dc11748e,2024-11-21 17:30,97570.39
6741921b0181b4e6dc11748f,2024-11-21 17:40,97628.78
6741921b0181b4e6dc117490,2024-11-21 17:50,98135.42
6741921b0181b4e6dc117491,2024-11-21 18:00,97956.75
6741921b0181b4e6dc117492,2024-11-21 18:10,98110.05
6741921b0181b4e6dc117493,2024-11-21 18:20,98419.55
6741921b0181b4e6dc117494,2024-11-21 18:30,98306.59
6741921b0181b4e6dc117495,2024-11-21 18:40,98103.58
6741921b0181b4e6dc117496,2024-11-21 18:50,98379.28
6741921b0181b4e6dc117497,2024-11-21 19:00,98501.21
6741921b0181b4e6dc117498,2024-11-21 19:10,98522.54
6741921b0181b4e6dc117499,2024-11-21 19:20,98784.01
6741921b0181b4e6dc11749a,2024-11-21 19:30,98438.69
6741921b0181b4e6dc11749b,2024-11-21 19:40,98211.07
6741921b0181b4e6dc11749c,2024-11-21 19:50,97921.16
6741921b0181b4e6dc11749d,2024-11-21 20:00,98517.46
6741921b0181b4e6dc11749e,2024-11-21 20:10,98604.16
6741921b0181b4e6dc11749f,2024-11-21 20:20,98668.6
6741921b0181b4e6dc1174a0,2024-11-21 20:30,98122.48
6741921b0181b4e6dc1174a1,2024-11-21 20:40,97903.53
6741921b0181b4e6dc1174a2,2024-11-21 20:50,98236.53
6741921b0181b4e6dc1174a3,2024-11-21 21:00,98120.98
6741921b0181b4e6dc1174a4,2024-11-21 21:10,98174.33
6741921b0181b4e6dc1174a5,2024-11-21 21:20,98062.36
6741921b0181b4e6dc1174a6,2024-11-21 21:30,98094.79
6741921b0181b4e6dc1174a7,2024-11-21 21:40,97754.22
6741921b0181b4e6dc1174a8,2024-11-21 21:50,98084.58
6741921b0181b4e6dc1174a9,2024-11-21 22:00,98141.66
6741921b0181b4e6dc1174aa,2024-11-21 22:10,98128.07
6741921b0181b4e6dc1174ab,2024-11-21 22:20,98301.33
6741921b0181b4e6dc1174ac,2024-11-21 22:30,98283.71
6741921b0181b4e6dc1174ad,2024-11-21 22:40,98346.04
6741921b0181b4e6dc1174ae,2024-11-21 22:50,98468.35
6741921b0181b4e6dc1174af,2024-11-21 23:00,98807.39
6741921b0181b4e6dc1174b0,2024-11-21 23:10,98554.48
6741921b0181b4e6dc1174b1,2024-11-21 23:20,98487.13
6741921b0181b4e6dc1174b2,2024-11-21 23:30,98548.39
6741921b0181b4e6dc1174b3,2024-11-21 23:40,98477.5
6741921b0181b4e6dc1174b4,2024-11-21 23:50,98436.25
6741921b0181b4e6dc1174b5,2024-11-22 0:00,98492.36
6741921b0181b4e6dc1174b6,2024-11-22 0:10,98470.26
6741921b0181b4e6dc1174b7,2024-11-22 0:20,98538.46
6741921b0181b4e6dc1174b8,2024-11-22 0:30,98401
6741921b0181b4e6dc1174b9,2024-11-22 0:40,98028.96
6741921b0181b4e6dc1174ba,2024-11-22 0:50,98104.12
6741921b0181b4e6dc1174bb,2024-11-22 1:00,98181.29
6741921b0181b4e6dc1174bc,2024-11-22 1:10,98269.16
6741921b0181b4e6dc1174bd,2024-11-22 1:20,98489.25
6741921b0181b4e6dc1174be,2024-11-22 1:30,98163.34
6741921b0181b4e6dc1174bf,2024-11-22 1:40,98067.9
6741921b0181b4e6dc1174c0,2024-11-22 1:50,98178.06
6741921b0181b4e6dc1174c1,2024-11-22 2:00,98364.42
6741921b0181b4e6dc1174c2,2024-11-22 2:10,98458.44
6741921b0181b4e6dc1174c3,2024-11-22 2:20,98446.69
6741921b0181b4e6dc1174c4,2024-11-22 2:30,98663.08
6741921b0181b4e6dc1174c5,2024-11-22 2:40,98660.96
6741921b0181b4e6dc1174c6,2024-11-22 2:50,98710.98
6741921b0181b4e6dc1174c7,2024-11-22 3:00,98750.36
6741921b0181b4e6dc1174c8,2024-11-22 3:10,99222.44
6741921b0181b4e6dc1174c9,2024-11-22 3:20,98755.53
6741921b0181b4e6dc1174ca,2024-11-22 3:30,98553.72
6741921b0181b4e6dc1174cb,2024-11-22 3:40,98793.86
6741921b0181b4e6dc1174cc,2024-11-22 3:50,98950.52
6741921b0181b4e6dc1174cd,2024-11-22 4:00,99013.09
6741921b0181b4e6dc1174ce,2024-11-22 4:10,98883.57
6741921b0181b4e6dc1174cf,2024-11-22 4:20,98983.31
6741921b0181b4e6dc1174d0,2024-11-22 4:30,99189.6
6741921b0181b4e6dc1174d1,2024-11-22 4:40,99042.33
6741921b0181b4e6dc1174d2,2024-11-22 4:50,98910.9
6741921b0181b4e6dc1174d3,2024-11-22 5:00,98982.23
6741921b0181b4e6dc1174d4,2024-11-22 5:10,98746.8
6741921b0181b4e6dc1174d5,2024-11-22 5:20,99062.97
6741921b0181b4e6dc1174d6,2024-11-22 5:30,99101.55
6741921b0181b4e6dc1174d7,2024-11-22 5:40,98976.11
6741921b0181b4e6dc1174d8,2024-11-22 5:50,98909.93
6741921b0181b4e6dc1174d9,2024-11-22 6:00,98935.69
6741921b0181b4e6dc1174da,2024-11-22 6:10,99153.47
6741921b0181b4e6dc1174db,2024-11-22 6:20,98887.33
6741921b0181b4e6dc1174dc,2024-11-22 6:30,98814.18
6741921b0181b4e6dc1174dd,2024-11-22 6:40,99012.69
6741921b0181b4e6dc1174de,2024-11-22 6:50,99117.81
6741921b0181b4e6dc1174df,2024-11-22 7:00,99106.62
6741921b0181b4e6dc1174e0,2024-11-22 7:10,99232.98
6741921b0181b4e6dc1174e1,2024-11-22 7:20,99338.29
6741921b0181b4e6dc1174e2,2024-11-22 7:30,99481.98
6741921b0181b4e6dc1174e3,2024-11-22 7:40,99440.07
6741921b0181b4e6dc1174e4,2024-11-22 7:50,99307.66
6741921b0181b4e6dc1174e5,2024-11-22 8:00,99285.14
6741921b0181b4e6dc1174e6,2024-11-22 8:10,98998.7
6741921b0181b4e6dc1174e7,2024-11-22 8:20,99239.77
6741921b0181b4e6dc1174e8,2024-11-22 8:30,99010.69
6741921b0181b4e6dc1174e9,2024-11-22 8:40,99015.96
6741921b0181b4e6dc1174ea,2024-11-22 8:50,98915.42
6741921b0181b4e6dc1174eb,2024-11-22 9:00,98816.95
