_id,Waktu,Harga Penutupan (USD)
6746f698c8fc5b6acaad4045,2024-11-20 13:20,94362.22
6746f698c8fc5b6acaad4044,2024-11-20 13:30,94273.24
6746f698c8fc5b6acaad4043,2024-11-20 13:40,94599.33
6746f698c8fc5b6acaad4042,2024-11-20 13:50,94483.5
6746f698c8fc5b6acaad4041,2024-11-20 14:00,94531.35
6746f698c8fc5b6acaad4040,2024-11-20 14:10,94354.76
6746f698c8fc5b6acaad403f,2024-11-20 14:20,94562.7
6746f698c8fc5b6acaad403e,2024-11-20 14:30,94154.97
6746f698c8fc5b6acaad403d,2024-11-20 14:40,94705.84
6746f698c8fc5b6acaad403c,2024-11-20 14:50,94734.6
6746f698c8fc5b6acaad403b,2024-11-20 15:00,94300.29
6746f698c8fc5b6acaad403a,2024-11-20 15:10,94553.28
6746f698c8fc5b6acaad4039,2024-11-20 15:20,94744.84
6746f698c8fc5b6acaad4038,2024-11-20 15:30,95005.66
6746f698c8fc5b6acaad4037,2024-11-20 15:40,94808.54
6746f698c8fc5b6acaad4036,2024-11-20 15:50,94917.15
6746f698c8fc5b6acaad4035,2024-11-20 16:00,94709.87
6746f698c8fc5b6acaad4034,2024-11-20 16:10,94407.81
6746f698c8fc5b6acaad4033,2024-11-20 16:20,93654.55
6746f698c8fc5b6acaad4032,2024-11-20 16:30,93811.43
6746f698c8fc5b6acaad4031,2024-11-20 16:40,93732.46
6746f698c8fc5b6acaad4030,2024-11-20 16:50,94174.67
6746f698c8fc5b6acaad402f,2024-11-20 17:00,94302.26
6746f698c8fc5b6acaad402e,2024-11-20 17:10,93992.87
6746f698c8fc5b6acaad402d,2024-11-20 17:20,94161.25
6746f698c8fc5b6acaad402c,2024-11-20 17:30,94223.72
6746f698c8fc5b6acaad402b,2024-11-20 17:40,94260.31
6746f698c8fc5b6acaad402a,2024-11-20 17:50,94041.61
6746f698c8fc5b6acaad4029,2024-11-20 18:00,94288.91
6746f698c8fc5b6acaad4028,2024-11-20 18:10,94018.49
6746f698c8fc5b6acaad4027,2024-11-20 18:20,94052.88
6746f698c8fc5b6acaad4026,2024-11-20 18:30,93625.06
6746f698c8fc5b6acaad4025,2024-11-20 18:40,93567.95
6746f698c8fc5b6acaad4024,2024-11-20 18:50,93788.57
6746f698c8fc5b6acaad4023,2024-11-20 19:00,93535.34
6746f698c8fc5b6acaad4022,2024-11-20 19:10,93475.81
6746f698c8fc5b6acaad4021,2024-11-20 19:20,93464.58
6746f698c8fc5b6acaad4020,2024-11-20 19:30,93807.95
6746f698c8fc5b6acaad401f,2024-11-20 19:40,94012.01
